name,score,subtitle,reviewUploadedAt,address,city,state,lat,lng,reviewUrl,directionsUrl,sourceType,confidence,notes,slug,thumbnailFilename,thumbnailPath,videoFilename,videoPath,status
Bruno's Philly Cheesesteaks,8.5,Phil ate the Southern Philly Cheesesteak.,2024-04-24,17 S Lincolnway St,North Aurora,IL,41.8050179,-88.32646199999999,https://www.instagram.com/reel/C6JLjVjrIgb/,https://www.google.com/maps/dir/?api=1&destination=17%20S%20Lincolnway%20St%2C%20North%20Aurora%2C%20IL%2060542%2C%20USA,structured-data,high,Present on the current site map but not in the provided known list.,brunos-philly-cheesesteaks,brunos-philly-cheesesteaks.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/brunos-philly-cheesesteaks.jpg,brunos-philly-cheesesteaks.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/brunos-philly-cheesesteaks.mp4,success
Joe Donut,8.7,Phil ate the Fun Guy breakfast sandwich.,2024-04-26,6969 N Milwaukee Ave,Niles,IL,42.0086816,-87.79796669999999,https://www.instagram.com/reel/C6OVJA9rYFR/,https://www.google.com/maps/dir/?api=1&destination=6969%20N%20Milwaukee%20Ave%2C%20Niles%2C%20IL%2060714%2C%20USA,structured-data,high,,joe-donut,joe-donut.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/joe-donut.jpg,joe-donut.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/joe-donut.mp4,success
Epic Deli,8.8,The John Bender,2024-05-01,2616 Schaid Ct,McHenry,IL,42.3659416,-88.2686633,https://www.instagram.com/reel/C6bNAsXr5IU/,https://www.google.com/maps/dir/?api=1&destination=2616%20Schaid%20Ct%2C%20McHenry%2C%20IL%2060051%2C%20USA,structured-data,high,,epic-deli,epic-deli.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/epic-deli.jpg,epic-deli.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/epic-deli.mp4,success
Punky's Pizza,7.7,Chicken Caesar Wrap on pizza crust,2024-05-03,2600 S Wallace St,Chicago,IL,41.8452698,-87.6418331,https://www.instagram.com/reel/C6gWtPrLn8b/,https://www.google.com/maps/dir/?api=1&destination=2600%20S%20Wallace%20St%2C%20Chicago%2C%20IL%2060616%2C%20USA,structured-data,high,,punkys-pizza,punkys-pizza.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/punkys-pizza.jpg,punkys-pizza.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/punkys-pizza.mp4,success
The Lucky Monk,8.5,Buffalo wings and Sweet Potato fries,2024-05-06,105 Hollywood Blvd,Barrington,IL,42.0705839,-88.14554009999999,https://www.instagram.com/reel/C6oFGOdrOyE/,https://www.google.com/maps/dir/?api=1&destination=105%20Hollywood%20Blvd%2C%20Barrington%2C%20IL%2060010%2C%20USA,structured-data,high,,the-lucky-monk,the-lucky-monk.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/the-lucky-monk.jpg,the-lucky-monk.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/the-lucky-monk.mp4,success
Uncle Jerry's Pizza Company,8.2,Sweet Sting Pizza,2024-05-08,133 W Main St,Cary,IL,42.2084294,-88.2425423,https://www.instagram.com/reel/C6tOu8HLl3e/,https://www.google.com/maps/dir/?api=1&destination=133%20W%20Main%20St%2C%20Cary%2C%20IL%2060013%2C%20USA,structured-data,high,,uncle-jerrys-pizza-company,uncle-jerrys-pizza-company.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/uncle-jerrys-pizza-company.jpg,uncle-jerrys-pizza-company.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/uncle-jerrys-pizza-company.mp4,success
The Budlong,8,Hot Chicken Sandwich,2024-05-10,"Food Court, 100 Oakbrook Center Unit 539",Oak Brook,IL,41.85218829999999,-87.9520271,https://www.instagram.com/reel/C6yYTrWLx1w/,https://www.google.com/maps/dir/?api=1&destination=Food%20Court%2C%20100%20Oakbrook%20Center%20Unit%20539%2C%20Oak%20Brook%2C%20IL%2060523%2C%20USA,structured-data,high,,the-budlong,the-budlong.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/the-budlong.jpg,the-budlong.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/the-budlong.mp4,success
Frannie's Beef,8.5,Italian Beef,2024-05-13,4304 River Rd,Schiller Park,IL,41.9573409,-87.8610561,https://www.instagram.com/reel/C66GoYXrjFh/,https://www.google.com/maps/dir/?api=1&destination=4304%20River%20Rd%2C%20Schiller%20Park%2C%20IL%2060176%2C%20USA,structured-data,high,,frannies-beef,frannies-beef.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/frannies-beef.jpg,frannies-beef.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/frannies-beef.mp4,success
Marciana's Kitchen,8.6,Sisig Plate,2024-05-15,332 E St Charles Rd,Villa Park,IL,41.8903421,-87.9705764,https://www.instagram.com/reel/C6_QPV8rYXK/,https://www.google.com/maps/dir/?api=1&destination=332%20E%20St%20Charles%20Rd%2C%20Villa%20Park%2C%20IL%2060181%2C%20USA,structured-data,high,,marcianas-kitchen,marcianas-kitchen.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/marcianas-kitchen.jpg,marcianas-kitchen.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/marcianas-kitchen.mp4,success
Home Of The Hoagy,9,Steak Sandwich,2024-05-17,1316 W 111th St,Chicago,IL,41.6924182,-87.65535779999999,https://www.instagram.com/reel/C7EZ20KvNjB/,https://www.google.com/maps/dir/?api=1&destination=1316%20W%20111th%20St%2C%20Chicago%2C%20IL%2060643%2C%20USA,structured-data,high,Present on the current site map but not in the provided known list.,home-of-the-hoagy,home-of-the-hoagy.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/home-of-the-hoagy.jpg,home-of-the-hoagy.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/home-of-the-hoagy.mp4,success
